IDREGRO;ID_ARBRE;ESSENCE;ETAT;DHP;VIGUER6;NB_TIGE;SUP_PE;COUPE;LATITUDE;LONGITUDE;ALTITUDE;P_TOT;T_MA;REG_ECO;TYPE_ECO;MSCR;ABCD
TEM23APC5000;109;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;110;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;111;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;112;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;113;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;114;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;115;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;116;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;117;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;A
TEM23APC5000;118;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;B
TEM23APC5000;119;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;B
TEM23APC5000;120;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;121;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;C
TEM23APC5000;122;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;123;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;124;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;125;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;126;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;127;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;128;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;129;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;130;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;131;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;132;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
