SubModuleID;ParameterEstimate;Ess_groupe
1;0.184720678;HEG
1;-0.059477765;HEG
1;-0.024908105;HEG
1;-0.034016717;HEG
1;-0.023238183;HEG
1;0.044562204;HEG
1;0.079272799;HEG
1;0.199771949;HEG
1;-0.049958043;HEG
1;0.050013614;HEG
1;-0.070577419;HEG
1;-0.067250516;HEG
1;-0.032366228;HEG
1;0.105505178;HEG
1;0.070791466;HEG
1;0.209636818;HEG
2;3.160723879;HEG
2;2.890005857;HEG
2;2.912758996;HEG
2;0.107671116;HEG
2;-0.20903038;HEG
2;0.843920557;HEG
2;0.061768255;HEG
2;-0.075033486;HEG
2;0.344873409;HEG
2;0.291369033;HEG
2;-0.464910214;HEG
2;-0.580149845;HEG
2;0.164061246;HEG
2;0.060182725;HEG
2;0.804008335;HEG
2;-0.33571953;HEG
2;-0.408555614;HEG
2;0.064159791;HEG
2;0.017713233;HEG
2;0.546142118;HEG
2;0.585780975;HEG
2;-0.002377389;HEG
2;-0.002010543;HEG
2;-4.68804e-4;HEG
2;-3.09278e-4;HEG
2;-9.3e-5;HEG
2;-2.04658e-4;HEG
2;2.53e-6;HEG
2;-0.256533057;HEG
2;-0.168171182;HEG
2;0.012674277;HEG
2;0.050528121;HEG
2;-0.060020395;HEG
2;-0.020368326;HEG
2;1.17802e-4;HEG
2;0.387782928;HEG
2;-0.176720988;HEG
2;-0.110675571;HEG
2;-0.081541792;HEG
2;-0.021649973;HEG
2;0.011289585;HEG
2;0.034157372;HEG
2;5.9e-5;HEG
2;0.086931585;HEG
2;0.212778645;HEG
2;-0.02439966;HEG
2;0.054068936;HEG
2;0.013874299999999999;HEG
2;0.043694617;HEG
2;-0.066554373;HEG
2;-0.039026703;HEG
2;-4.06e-5;HEG
2;0.120087413;HEG
2;0.075601882;HEG
2;0.337141939;HEG
2;-0.1970429;HEG
2;-0.420189273;HEG
2;0.422015541;HEG
2;0.205792499;HEG
2;0.047906948;HEG
2;0.064738331;HEG
2;-3.64108e-4;HEG
2;0.002140182;HEG
2;0.025651323;HEG
2;-0.08752579;HEG
2;1.286928605;HEG
3;2.319635037;HEG
3;2.215298266;HEG
3;2.273413243;HEG
3;2.187099995;HEG
3;2.237514477;HEG
3;2.523549013;HEG
3;0.048999433;HEG
3;0.024470322;HEG
3;0.009691448;HEG
3;2.18824274;HEG
3;-0.022212518;HEG
3;-0.13540077;HEG
3;-0.161725791;HEG
3;0.230171827;HEG
3;0.465024541;HEG
3;-0.123984921;HEG
3;-0.196733531;HEG
3;-0.200964261;HEG
3;0.197177611;HEG
3;0.230596984;HEG
3;0.245213149;HEG
3;-0.418178257;HEG
3;-0.51027604;HEG
3;-0.518153606;HEG
3;0.062185411;HEG
3;0.106990326;HEG
3;0.094410758;HEG
3;0.691781165;HEG
3;-0.277762799;HEG
3;-0.376991843;HEG
3;-0.38875058;HEG
3;0.030029437;HEG
3;0.113523523;HEG
3;0.087825668;HEG
3;0.488812519;HEG
3;0.531846428;HEG
3;-0.001720133;HEG
3;-0.001564598;HEG
3;-0.001530604;HEG
3;-2.46647e-4;HEG
3;-2.36292e-4;HEG
3;-1.05093e-4;HEG
3;-6.83e-5;HEG
3;-1.9693e-4;HEG
3;1.77e-6;HEG
3;-0.122016989;HEG
3;-0.069272951;HEG
3;-0.064670499;HEG
3;0.117153171;HEG
3;0.089684271;HEG
3;0.067141049;HEG
3;-0.042691717;HEG
3;-0.061646306;HEG
3;2.44e-5;HEG
3;0.312216497;HEG
3;-0.031698546;HEG
3;0.043037484;HEG
3;0.052481898;HEG
3;-0.053003195;HEG
3;-0.06767682;HEG
3;-0.066391022;HEG
3;-0.098226864;HEG
3;-0.090096934;HEG
3;6.39e-5;HEG
3;0.073060056;HEG
3;0.196680835;HEG
3;-0.096658833;HEG
3;-0.062357705;HEG
3;-0.060411317;HEG
3;0.146066504;HEG
3;0.126039875;HEG
3;0.098322834;HEG
3;0.015837189;HEG
3;-0.002560488;HEG
3;-6.31e-5;HEG
3;0.129992029;HEG
3;0.057897912;HEG
3;0.384702565;HEG
