Essence_billon;Module;Produit;QualiteABCD;eco;ParameterEstimate;Effet
ERS;Pres;P;;4E;2.642241167;classepetro_eco
ERS;Pres;P;;4O_b;3.475006853;classepetro_eco
ERS;Pres;P;;4O_c;0;classepetro_eco
ERS;Vol;F1;A;;-2.538072981;classepetro_qual
ERS;Vol;F1;B;;-2.726385996;classepetro_qual
ERS;Vol;F1;C;;-2.698811715;classepetro_qual
ERS;Vol;F1;D;;-2.893244298;classepetro_qual
ERS;Vol;F2;A;;-2.388458318;classepetro_qual
ERS;Vol;F2;B;;-2.476230718;classepetro_qual
ERS;Vol;F2;C;;-2.53761688;classepetro_qual
ERS;Vol;F2;D;;-2.737419577;classepetro_qual
ERS;Vol;F3;A;;-2.941269704;classepetro_qual
ERS;Vol;F3;B;;-2.778589955;classepetro_qual
ERS;Vol;F3;C;;-2.808782382;classepetro_qual
ERS;Vol;F3;D;;-2.994563658;classepetro_qual
ERS;Vol;F4;A;;-2.905376329;classepetro_qual
ERS;Vol;F4;B;;-3.004762416;classepetro_qual
ERS;Vol;F4;C;;-2.98062399;classepetro_qual
ERS;Vol;F4;D;;-2.889630724;classepetro_qual
ERS;Vol;P;A;;-2.567747785;classepetro_qual
ERS;Vol;P;B;;-2.555509267;classepetro_qual
ERS;Vol;P;C;;-2.430885792;classepetro_qual
ERS;Vol;P;D;;-2.193496911;classepetro_qual
ERS;Vol;F1;;;0.045515034;dhpcm_classepetro
ERS;Vol;F2;;;0.033553251;dhpcm_classepetro
ERS;Vol;F3;;;0.036935196;dhpcm_classepetro
ERS;Vol;F4;;;0.025519143;dhpcm_classepetro
ERS;Vol;P;;;0.031764573;dhpcm_classepetro
ERS;Vol;F1;;2O;-0.034539161;classepetro_eco
ERS;Vol;F1;;3O_a;-0.071088106;classepetro_eco
ERS;Vol;F1;;3O_b;-0.32856211;classepetro_eco
ERS;Vol;F1;;4E;-0.324252513;classepetro_eco
ERS;Vol;F1;;4O_b;-0.106266249;classepetro_eco
ERS;Vol;F1;;4O_c;0;classepetro_eco
ERS;Vol;F2;;2O;0.174138757;classepetro_eco
ERS;Vol;F2;;3O_a;0.148952806;classepetro_eco
ERS;Vol;F2;;3O_b;0.048230532;classepetro_eco
ERS;Vol;F2;;4E;-0.025272576;classepetro_eco
ERS;Vol;F2;;4O_b;-0.014753685;classepetro_eco
ERS;Vol;F2;;4O_c;0;classepetro_eco
ERS;Vol;F3;;2O;0.113273376;classepetro_eco
ERS;Vol;F3;;3O_a;0.119435057;classepetro_eco
ERS;Vol;F3;;3O_b;0.122960975;classepetro_eco
ERS;Vol;F3;;4E;-0.116124069;classepetro_eco
ERS;Vol;F3;;4O_b;0.144260665;classepetro_eco
ERS;Vol;F3;;4O_c;0;classepetro_eco
ERS;Vol;F4;;2O;-0.342934902;classepetro_eco
ERS;Vol;F4;;3O_a;-0.613934343;classepetro_eco
ERS;Vol;F4;;3O_b;-0.257634852;classepetro_eco
ERS;Vol;F4;;4E;-0.299254819;classepetro_eco
ERS;Vol;F4;;4O_b;0.053060766;classepetro_eco
ERS;Vol;F4;;4O_c;0;classepetro_eco
ERS;Vol;P;;2O;0.268638115;classepetro_eco
ERS;Vol;P;;3O_a;-0.010429047;classepetro_eco
ERS;Vol;P;;3O_b;-0.045992583;classepetro_eco
ERS;Vol;P;;4E;0.271856543;classepetro_eco
ERS;Vol;P;;4O_b;0.26449104;classepetro_eco
ERS;Vol;P;;4O_c;0;classepetro_eco
