VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;3;-2.738846038;FC1;essgroup;ERS;;;;;;;;;
1;3;-3.234471097;FC1;essgroup;FEN;;;;;;;;;
1;3;-0.441075912;FC1;essgroup;FIN;;;;;;;;;
1;3;0;FC1;essgroup;HEG;;;;;;;;;
1;3;-4.465099631;FC1;essgroup;RES;;;;;;;;;
1;3;0;FC1;essgroup;SAB;;;;;;;;;
1;3;-0.03102243;FC1;dhp0;;;;;;;;;;
1;3;0.086775323;FC1;logdhp*essgroup;AUT;;;;;;;;;
1;3;0.040765467;FC1;logdhp*essgroup;BOJ;;;;;;;;;
1;3;0.440171871;FC1;logdhp*essgroup;EPX;;;;;;;;;
1;3;-0.254267051;FC1;logdhp*essgroup;ERR;;;;;;;;;
1;3;0.173124763;FC1;logdhp*essgroup;ERS;;;;;;;;;
1;3;0.477371445;FC1;logdhp*essgroup;FEN;;;;;;;;;
1;3;-0.72620054;FC1;logdhp*essgroup;FIN;;;;;;;;;
1;3;-0.744326773;FC1;logdhp*essgroup;HEG;;;;;;;;;
1;3;0.241468578;FC1;logdhp*essgroup;RES;;;;;;;;;
1;3;-1.320642307;FC1;logdhp*essgroup;SAB;;;;;;;;;
1;3;-0.107612716;FC1;type_pe;;;;;;type0;;;;
1;3;0.075320296;FC1;type_pe;;;;;;type1;;;;
1;3;0;FC1;type_pe;;;;;;type2;;;;
1;3;-0.837721948;FC1;rid1;;;;;;;2o;;;
1;3;-0.763522228;FC1;rid1;;;;;;;3a;;;
1;3;-0.425367911;FC1;rid1;;;;;;;3b;;;
1;3;-0.057681303;FC1;rid1;;;;;;;3c;;;
1;3;-0.337265118;FC1;rid1;;;;;;;3d;;;
1;3;0.48427831;FC1;rid1;;;;;;;4e;;;
1;3;-0.353507706;FC1;rid1;;;;;;;4o;;;
1;3;-0.175172904;FC1;rid1;;;;;;;DU;;;
1;3;0;FC1;rid1;;;;;;;SV;;;
1;3;1.717298929;FC1;essgroup*rid1;AUT;;;;;;2o;;;
1;3;1.209117016;FC1;essgroup*rid1;AUT;;;;;;3a;;;
1;3;1.128005564;FC1;essgroup*rid1;AUT;;;;;;3b;;;
1;3;-0.463675613;FC1;essgroup*rid1;AUT;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;AUT;;;;;;3d;;;
1;3;0;FC1;essgroup*rid1;AUT;;;;;;4e;;;
1;3;0;FC1;essgroup*rid1;AUT;;;;;;4o;;;
1;3;0;FC1;essgroup*rid1;AUT;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;AUT;;;;;;SV;;;
1;3;0;FC1;essgroup*rid1;BOJ;;;;;;2o;;;
1;3;0.517949056;FC1;essgroup*rid1;BOJ;;;;;;3a;;;
1;3;0.251930493;FC1;essgroup*rid1;BOJ;;;;;;3b;;;
1;3;-0.014348674;FC1;essgroup*rid1;BOJ;;;;;;3c;;;
1;3;0.097154074;FC1;essgroup*rid1;BOJ;;;;;;3d;;;
1;3;-0.43973051;FC1;essgroup*rid1;BOJ;;;;;;4e;;;
1;3;0.341371503;FC1;essgroup*rid1;BOJ;;;;;;4o;;;
1;3;-0.061876923;FC1;essgroup*rid1;BOJ;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;BOJ;;;;;;SV;;;
1;3;0;FC1;essgroup*rid1;EPX;;;;;;2o;;;
1;3;0.593770923;FC1;essgroup*rid1;EPX;;;;;;3a;;;
1;3;0.122955843;FC1;essgroup*rid1;EPX;;;;;;3b;;;
1;3;0.248906603;FC1;essgroup*rid1;EPX;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;EPX;;;;;;3d;;;
1;3;-1.00653054;FC1;essgroup*rid1;EPX;;;;;;4e;;;
1;3;0.612412059;FC1;essgroup*rid1;EPX;;;;;;4o;;;
1;3;-0.124638059;FC1;essgroup*rid1;EPX;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;EPX;;;;;;SV;;;
1;3;0.902044761;FC1;essgroup*rid1;ERR;;;;;;2o;;;
1;3;0.601950708;FC1;essgroup*rid1;ERR;;;;;;3a;;;
1;3;0.508785922;FC1;essgroup*rid1;ERR;;;;;;3b;;;
1;3;0.129793475;FC1;essgroup*rid1;ERR;;;;;;3c;;;
1;3;1.001017822;FC1;essgroup*rid1;ERR;;;;;;3d;;;
1;3;0.005789077;FC1;essgroup*rid1;ERR;;;;;;4e;;;
1;3;-0.190994399;FC1;essgroup*rid1;ERR;;;;;;4o;;;
1;3;0.309362639;FC1;essgroup*rid1;ERR;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;ERR;;;;;;SV;;;
1;3;0.510189825;FC1;essgroup*rid1;ERS;;;;;;2o;;;
1;3;0.546401973;FC1;essgroup*rid1;ERS;;;;;;3a;;;
1;3;0.311015253;FC1;essgroup*rid1;ERS;;;;;;3b;;;
1;3;0.096082001;FC1;essgroup*rid1;ERS;;;;;;3c;;;
1;3;0.313514592;FC1;essgroup*rid1;ERS;;;;;;3d;;;
1;3;0.249158523;FC1;essgroup*rid1;ERS;;;;;;4e;;;
1;3;0.341040544;FC1;essgroup*rid1;ERS;;;;;;4o;;;
1;3;0.102262138;FC1;essgroup*rid1;ERS;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;ERS;;;;;;SV;;;
1;3;0.38771235;FC1;essgroup*rid1;FEN;;;;;;2o;;;
1;3;0.137787127;FC1;essgroup*rid1;FEN;;;;;;3a;;;
1;3;0.106409709;FC1;essgroup*rid1;FEN;;;;;;3b;;;
1;3;-0.091475628;FC1;essgroup*rid1;FEN;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;FEN;;;;;;3d;;;
1;3;0;FC1;essgroup*rid1;FEN;;;;;;4e;;;
1;3;0;FC1;essgroup*rid1;FEN;;;;;;4o;;;
1;3;0;FC1;essgroup*rid1;FEN;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;FEN;;;;;;SV;;;
1;3;0.850101892;FC1;essgroup*rid1;FIN;;;;;;2o;;;
1;3;1.014247136;FC1;essgroup*rid1;FIN;;;;;;3a;;;
1;3;0.531491751;FC1;essgroup*rid1;FIN;;;;;;3b;;;
1;3;0.441547049;FC1;essgroup*rid1;FIN;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;FIN;;;;;;3d;;;
1;3;0;FC1;essgroup*rid1;FIN;;;;;;4e;;;
1;3;0.016733165;FC1;essgroup*rid1;FIN;;;;;;4o;;;
1;3;0;FC1;essgroup*rid1;FIN;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;FIN;;;;;;SV;;;
1;3;0.58930022;FC1;essgroup*rid1;HEG;;;;;;2o;;;
1;3;0.544954843;FC1;essgroup*rid1;HEG;;;;;;3a;;;
1;3;0.20844468;FC1;essgroup*rid1;HEG;;;;;;3b;;;
1;3;0.070924515;FC1;essgroup*rid1;HEG;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;HEG;;;;;;3d;;;
1;3;-1.307977681;FC1;essgroup*rid1;HEG;;;;;;4e;;;
1;3;0;FC1;essgroup*rid1;HEG;;;;;;4o;;;
1;3;0.067696482;FC1;essgroup*rid1;HEG;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;HEG;;;;;;SV;;;
1;3;1.961678967;FC1;essgroup*rid1;RES;;;;;;2o;;;
1;3;1.718770473;FC1;essgroup*rid1;RES;;;;;;3a;;;
1;3;2.12301539;FC1;essgroup*rid1;RES;;;;;;3b;;;
1;3;1.470519078;FC1;essgroup*rid1;RES;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;RES;;;;;;3d;;;
1;3;0;FC1;essgroup*rid1;RES;;;;;;4e;;;
1;3;0;FC1;essgroup*rid1;RES;;;;;;4o;;;
1;3;0.871039786;FC1;essgroup*rid1;RES;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;RES;;;;;;SV;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;2o;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;3a;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;3b;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;3c;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;3d;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;4e;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;4o;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;DU;;;
1;3;0;FC1;essgroup*rid1;SAB;;;;;;SV;;;
1;3;2.696012252;FC1;aam;;;;;;;;;;
1;4;-0.935114068;FC1;Intercept;;;;;;;;;;
1;4;-5.340424746;FC1;vigu0*prod0;;;;NONVIG;PATE;;;;;
1;4;0;FC1;vigu0*prod0;;;;NONVIG;RES;;;;;
1;4;-0.556064191;FC1;vigu0*prod0;;;;NONVIG;SCI;;;;;
1;4;-4.995389812;FC1;vigu0*prod0;;;;VIG;PATE;;;;;
1;4;0;FC1;vigu0*prod0;;;;VIG;RES;;;;;
1;4;0;FC1;vigu0*prod0;;;;VIG;SCI;;;;;
1;4;0;FC1;dhp0*essgroup;AUT;;;;;;;;;
1;4;-0.071883685;FC1;dhp0*essgroup;BOJ;;;;;;;;;
1;4;0;FC1;dhp0*essgroup;EPX;;;;;;;;;
1;4;-0.069740197;FC1;dhp0*essgroup;ERR;;;;;;;;;
1;4;-0.037653847;FC1;dhp0*essgroup;ERS;;;;;;;;;
1;4;0.063095445;FC1;dhp0*essgroup;FEN;;;;;;;;;
1;4;-0.030806167;FC1;dhp0*essgroup;FIN;;;;;;;;;
1;4;-0.040372143;FC1;dhp0*essgroup;HEG;;;;;;;;;
1;4;0;FC1;dhp0*essgroup;RES;;;;;;;;;
1;4;0;FC1;dhp0*essgroup;SAB;;;;;;;;;
1;4;0;FC1;logdhp0*essgroup;AUT;;;;;;;;;
1;4;2.712202321;FC1;logdhp*essgroup;BOJ;;;;;;;;;
1;4;0;FC1;logdhp*essgroup;EPX;;;;;;;;;
1;4;2.38816061;FC1;logdhp*essgroup;ERR;;;;;;;;;
1;4;1.90550056;FC1;logdhp*essgroup;ERS;;;;;;;;;
1;4;-0.056820043;FC1;logdhp*essgroup;FEN;;;;;;;;;
1;4;0.920954475;FC1;logdhp*essgroup;FIN;;;;;;;;;
1;4;1.045716057;FC1;logdhp*essgroup;HEG;;;;;;;;;
1;4;0;FC1;logdhp*essgroup;RES;;;;;;;;;
1;4;0;FC1;logdhp*essgroup;SAB;;;;;;;;;
1;4;0.410288259;FC1;type_pe ;;;;;;type0;;;;
1;4;-0.086095964;FC1;type_pe;;;;;;type1;;;;
1;4;0;FC1;type_pe;;;;;;type2;;;;
1;4;0;FC1;essgroup;AUT;;;;;;;;;
1;4;-3.04435493;FC1;essgroup;BOJ;;;;;;;;;
1;4;0;FC1;essgroup;EPX;;;;;;;;;
1;4;-3.026069484;FC1;essgroup;ERR;;;;;;;;;
1;4;-1.733878401;FC1;essgroup;ERS;;;;;;;;;
1;4;2.618763178;FC1;essgroup;FEN;;;;;;;;;
1;4;0.82885933;FC1;essgroup;FIN;;;;;;;;;
1;4;0;FC1;essgroup;HEG;;;;;;;;;
1;4;0;FC1;essgroup;RES;;;;;;;;;
1;4;0;FC1;essgroup;SAB;;;;;;;;;
1;4;0.17433115;FC1;rid1;;;;;;;2o;;;
1;4;0.183337721;FC1;rid1;;;;;;;3a;;;
1;4;0.492026083;FC1;rid1;;;;;;;3b;;;
1;4;0.047592024;FC1;rid1;;;;;;;3c;;;
1;4;-1.145162091;FC1;rid1;;;;;;;3d;;;
1;4;-0.970067399;FC1;rid1;;;;;;;4e;;;
1;4;-0.392499153;FC1;rid1;;;;;;;4o;;;
1;4;-0.18759476;FC1;rid1;;;;;;;DU;;;
1;4;0;FC1;rid1;;;;;;;SV;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;2o;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;3a;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;3b;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;3c;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;3d;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;4e;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;4o;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;DU;;;
1;4;0;FC1;essgroup*rid1;AUT;;;;;;SV;;;
1;4;0;FC1;essgroup*rid1;BOJ;;;;;;2o;;;
1;4;-0.587758092;FC1;essgroup*rid1;BOJ;;;;;;3a;;;
1;4;-0.594664875;FC1;essgroup*rid1;BOJ;;;;;;3b;;;
1;4;-0.196633377;FC1;essgroup*rid1;BOJ;;;;;;3c;;;
1;4;1.034960652;FC1;essgroup*rid1;BOJ;;;;;;3d;;;
1;4;0.375743883;FC1;essgroup*rid1;BOJ;;;;;;4e;;;
1;4;0.260554011;FC1;essgroup*rid1;BOJ;;;;;;4o;;;
1;4;0.256160586;FC1;essgroup*rid1;BOJ;;;;;;DU;;;
1;4;0;FC1;essgroup*rid1;BOJ;;;;;;SV;;;
