Essence_billon;Module;ParameterEstimate;Produit;Effet
HEG;Pres;0.00927271076002375;F4;dhpcm
HEG;Pres;0.00927271076002375;P;dhpcm
HEG;Pres;0;DER;dhpcm_classepetro
HEG;Pres;0;F1;dhpcm_classepetro
HEG;Pres;0.0723954496547153;F2;dhpcm_classepetro
HEG;Pres;-0.0305109859069329;F3;dhpcm_classepetro
HEG;Pres;-0.105406823901726;F4;dhpcm_classepetro
HEG;Pres;0;P;dhpcm_classepetro
HEG;Vol;0;DER;classepetro
HEG;Vol;0;F1;classepetro
HEG;Vol;-2.9035184899169;F2;classepetro
HEG;Vol;-3.18581007849095;F3;classepetro
HEG;Vol;-3.57841651265302;F4;classepetro
HEG;Vol;-2.68349863124868;P;classepetro
HEG;Vol;0;DER;dhpcm
HEG;Vol;0;F1;dhpcm
HEG;Vol;0.0512076337025617;F2;dhpcm
HEG;Vol;0.0512076337025617;F3;dhpcm
HEG;Vol;0.0512076337025617;F4;dhpcm
HEG;Vol;0.0512076337025617;P;dhpcm
HEG;Vol;0;DER;dhpcm_classepetro
HEG;Vol;0;F1;dhpcm_classepetro
HEG;Vol;-0.00572470750652832;F2;dhpcm_classepetro
HEG;Vol;0.00237054803896106;F3;dhpcm_classepetro
HEG;Vol;-0.0114129966874268;F4;dhpcm_classepetro
HEG;Vol;0;P;dhpcm_classepetro
